Info for plot,,,,CHANGE YELLOW HIGHLIGHT,,,,,,,,,SankeyTitle,node_label,x_posi,y_posi,node_color,node_color_rgba,node_hover,source,target,value,link_hover,link_colorrr,,index,,Hybridoma ID,Clone A or B or Poly?,,,,,Notes
SR#,#####,,,,,,,,,,,,<b>SR##### Client [Target]<br>Hybridoma antibody discovery <br> (Campaign Summary),"Fusion 1 <br># hybridomas =  2304<br>Fusion efficiency =  1.2<br># of wells screened:  1920<br>Mse ID#  9, 10<br>Mse strain(s):  qxv<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",-0.01,0.25,#ffd700,"rgba(255,215,0, 0.4)","Fusion efficiency =  1.2<br>Fused b-cells:  Lymphocytes<br>Mse ID#  9, 10<br>Mse strain(s):  qxv","Fusion 1 <br># hybridomas =  2304<br>Fusion efficiency =  1.2<br># of wells screened:  1920<br>Mse ID#  9, 10<br>Mse strain(s):  qxv<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",<b>Primary<br>screen<br><span style='color:red'>384 hits,2304,"Fusion efficiency =1.2<br>Pool 1 Lymphocytes<br>Mse 9, 10<br>Strains: qxv","rgba(255,215,0, 0.4)",,0,,,,,,,,*Helpful link to color codes: 
Client,Client,,,,,,,,,,,,,"Fusion 2 <br># hybridomas =  2496<br>Fusion efficiency =  1.3<br># of wells screened:  1920<br>Mse ID#  1, 2, 4, 8<br>Mse strain(s):  Mixed, bxs, kxg7<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",-0.01,0.75,#800080,"rgba(128,0,128, 0.4)","Fusion efficiency = 1.3<br>Pool 2 Lymphocytes<br>Mse 9, 10 <br>Strains: Mixed, bxs, kxg7","Fusion 2 <br># hybridomas =  2496<br>Fusion efficiency =  1.3<br># of wells screened:  1920<br>Mse ID#  1, 2, 4, 8<br>Mse strain(s):  Mixed, bxs, kxg7<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",<b>Primary<br>screen<br><span style='color:red'>384 hits,2496,"Fusion efficiency =1.3<br>Pool 1 Lymphocytes<br>Mse 1, 2, 4, 8<br>Strains: Mixed, bxs, kxg7","rgba(128,0,128, 0.4)",,1,,,,,,,,https://reeddesign.co.uk/test/namedcolors.html 
Target,[Target],,,,,,,,,,,,,<b>Primary<br>screen<br><span style='color:red'>384 hits,0.2,0.5,#000000,"rgba(0,0,0)",4800 Screened against 1ug/mL Target-His by ELISA<br><br>384 hits moved forward to Confirmation<br>screen,"Fusion 1 <br># hybridomas =  2304<br>Fusion efficiency =  1.2<br># of wells screened:  1920<br>Mse ID#  9, 10<br>Mse strain(s):  qxv<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",<b>Confirmation<br>screen<br><span style='color:red'>355/384hits,192, ,"rgba(255,215,0, 0.4)",,2,,,,,,,,https://www.rapidtables.com/convert/color/hex-to-rgb.html
,,,,,,,,,,,,,,<b>Confirmation<br>screen<br><span style='color:red'>355/384hits,0.3,0.25,#000000,"rgba(0,0,0)",384 Screened against 1ug/mL Target-His by ELISA<br><br>355 confirmed,"Fusion 2 <br># hybridomas =  2496<br>Fusion efficiency =  1.3<br># of wells screened:  1920<br>Mse ID#  1, 2, 4, 8<br>Mse strain(s):  Mixed, bxs, kxg7<br>Fused b-cells:  Lymphocytes<br>Immunization method:  HT-Hock<br>Immunogen:  aaa<br>Final boost:  aaa",<b>Confirmation<br>screen<br><span style='color:red'>355/384hits,192, ,"rgba(128,0,128, 0.4)",,3,,,,,,,,*It's important that all names under source and target exactly match one of the node labels. Case sensitive and space sensitive.
Fusion 1,,,,,,,,,,,,,,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,0.4,0.35,#000000,"rgba(0,0,0)",355 screened against 1ug/mL Target-His by ELISA <br><br>337 expanded and cryopreserved,<b>Confirmation<br>screen<br><span style='color:red'>355/384hits,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,187, ,"rgba(255,215,0, 0.4)",,4,,,,,,,,
# hybridomas = ,2304,,,,,,,,,,,,,Clone A<br>(24/24),0.65,0.1,#00008b,"rgba(0, 0, 139)",24 Clone A's obtained out of 24<br>Clone screen RLU:  <br>2-O1 (RLU:278295)<br>3-D11 (RLU:596386)<br>3-O21 (RLU:250907)<br>4-A16 (RLU:550873)<br>4-N1 (RLU:118945)<br>5-I19 (RLU:235897)<br>5-L22 (RLU:)<br>5-L6 (RLU:706130)<br>7-E1 (RLU:313927)<br>7-P21 (RLU:)<br>8-E6 (RLU:368460)<br>9-B7 (RLU:280969)<br>Top hit #13 (RLU:)<br>Top hit #14 (RLU:280969)<br>Top hit #15 (RLU:280969)<br>Top hit #16 (RLU:280969)<br>Top hit #17 (RLU:280969)<br>Top hit #18 (RLU:280969)<br>Top hit #19 (RLU:280969)<br>Top hit #20 (RLU:280969)<br>Top hit #21 (RLU:280969)<br>Top hit #22 (RLU:280969)<br>Top hit #23 (RLU:280969)<br>Top hit #24 (RLU:280969,<b>Confirmation<br>screen<br><span style='color:red'>355/384hits,<b>Tertiary screen<br><span style='color:red'>337/355 hits<br><span style='color:black'><b>expanded & cryopreserved,187, ,"rgba(128,0,128, 0.4)",,5,,,,,,,,
Fusion efficiency = ,1.2,,,,,,,,,,,,,Clone B (21/24),0.65,0.3,#00008b,"rgba(0, 0, 139)",21 Clone B's obtained out of 24<br>Clone screen RLU:  <br>2-O1 (RLU:268914)<br>3-D11 (RLU:548279)<br>3-O21 (RLU:245640)<br>4-A16 (RLU:542545)<br>4-N1 (RLU:115117)<br>5-I19 (RLU:137351)<br>5-L22 (RLU:)<br>5-L6 (RLU:388528)<br>7-E1 (RLU:256232)<br>7-P21 (RLU:)<br>8-E6 (RLU:327766)<br>9-B7 (RLU:282555)<br>Top hit #13 (RLU:)<br>Top hit #14 (RLU:282555)<br>Top hit #15 (RLU:282555)<br>Top hit #16 (RLU:282555)<br>Top hit #17 (RLU:282555)<br>Top hit #18 (RLU:282555)<br>Top hit #19 (RLU:282555)<br>Top hit #20 (RLU:282555)<br>Top hit #21 (RLU:282555)<br>Top hit #22 (RLU:282555)<br>Top hit #23 (RLU:282555)<br>Top hit #24 (RLU:282555,Clone A<br>(24/24),BVP<br>(21/24 clean),20,testA,"rgba(30,144,255, 0.4)",,6,,,,,,,,
# of wells screened: ,1920,,,,,,,,,,,,,BVP<br>(21/24 clean),0.95,0.35,#1e90ff,"rgba(30, 144, 255)",21 Clones clean against BVP<br>BVP RLU:  <br>2-O1 (RLU:######)<br>3-D11 (RLU:###)<br>3-O21 (RLU:###)<br>4-A16 (RLU:###)<br>4-N1 (RLU:###)<br>5-I19 (RLU:###)<br>5-L22 (RLU:###)<br>5-L6 (RLU:###)<br>7-E1 (RLU:###)<br>7-P21 (RLU:###)<br>8-E6 (RLU:###)<br>9-B7 (RLU:###)<br>Top hit #13 (RLU:###)<br>Top hit #14 (RLU:###)<br>Top hit #15 (RLU:###)<br>Top hit #16 (RLU:###)<br>Top hit #17 (RLU:###)<br>Top hit #18 (RLU:###)<br>Top hit #19 (RLU:###)<br>Top hit #20 (RLU:###)<br>Top hit #21 (RLU:###)<br>Top hit #22 (RLU:###)<br>Top hit #23 (RLU:###)<br>Top hit #24 (RLU:###,Clone B (21/24),BVP<br>(21/24 clean),3,testB,"rgba(30,144,255, 0.4)",,7,,,,,,,,
Mse ID# ,"9, 10",,,,,,,,,,,,,<b>Sequencing</b> <br>( Single heavy & light<br> chain obtained<br> for 21/24),0.9,0.5,#ff0000,"rgba(255,0,0, 0.4)",19 Unique: <br>3-O21<br>4-A16<br>4-N1<br>5-I19<br>5-L22<br>5-L6<br>7-E1<br>7-P21<br>Top hit #12<br>Top hit #13<br>Top hit #14<br>Top hit #15<br>Top hit #16<br>Top hit #17<br>Top hit #18<br>Top hit #19<br>Top hit #20<br>Top hit #21<br>Top hit #22<br><br>2 Sibling: <br>2-O1 and 3-D11<br>8-E6 and 9-B7<br><br>0 Identical: <br><br><br>3 Multiple HC/LC: <br>7-P21<br>Top hit #24<br>Top hit #23,Clone A<br>(24/24),<b>Sequencing</b> <br>( Single heavy & light<br> chain obtained<br> for 21/24),20,testA,"rgba(255,0,0, 0.4)",,8,,,,,,,,
Mse strain(s): ,qxv,,,,,,,,,,,,,2-O1,0.45,0.6,#ffd700,"rgba(255,215,0,0.4)",1*Screen RLU:  905599<br>2*Screen RLU:  392623<br>3*Screen RLU:  527914<br>Scaleup RLU:  260161.5<br>Poly/Nonspecific binding to BVP?    Yes<br>CDR3_HC sequence:  aaaa<br>CDR3_LC sequence:  aaaa<br>Z^2 Liability score:  3<br>Isotype: mIGG2B mKAPPA<br>EC50 (nM):  3.3<br>IC50 (nM):  ## / ## / ##,Clone B (21/24),<b>Sequencing</b> <br>( Single heavy & light<br> chain obtained<br> for 21/24),3,testB,"rgba(255,0,0, 0.4)",,9,,2-O1,A,,,,,
