Primary1,Confirmation1,Tertiary1,Primary2,Confirmation2,Tertiary2
[192 HITS]<br>,[187 HITS]<br>,,[192 HITS]<br>,[187 HITS]<br>,
1-A2,1-B21,1-B7,4-K20,4-K7,4-M3
1-B21,1-B7,1-C17,4-K7,4-M3,4-O11
1-B3,1-C13,1-C6,4-M24,4-N1,4-O23
1-B7,1-C17,1-D11,4-M3,4-O11,4-P3
1-C1,1-C23,1-D5,4-M6,4-O21,5-A17
1-C13,1-C6,1-E10,4-N1,4-O23,5-A5
1-C16,1-C8,1-E15,4-N4,4-P12,5-A8
1-C17,1-D11,1-E16,4-O11,4-P3,5-B13
1-C20,1-D24,1-E2,4-O20,4-P9,5-B20
1-C23,1-D5,1-E24,4-O21,5-A17,5-B7
1-C6,1-E10,1-F17,4-O23,5-A5,5-C10
1-C8,1-E15,1-F19,4-P12,5-A8,5-C14
1-D11,1-E16,1-F2,4-P3,5-B13,5-C4
1-D24,1-E2,1-G1,4-P9,5-B20,5-D15
1-D5,1-E24,1-G10,5-A17,5-B7,5-D24
1-E10,1-F17,1-G4,5-A5,5-C10,5-E12
1-E15,1-F19,1-H10,5-A8,5-C14,5-E18
1-E16,1-F2,1-H15,5-B13,5-C4,5-E7
1-E2,1-G1,1-H18,5-B20,5-D15,5-F4
1-E24,1-G10,1-H24,5-B7,5-D24,5-G19
1-F17,1-G4,1-H5,5-C10,5-E12,5-G5
1-F19,1-H10,1-H6,5-C14,5-E18,5-H14
1-F2,1-H15,1-H9,5-C4,5-E7,5-H21
1-G1,1-H18,1-I11,5-D15,5-F4,5-H3
1-G10,1-H24,1-I16,5-D24,5-G19,5-H4
1-G4,1-H5,1-I21,5-E12,5-G5,5-I5
1-H10,1-H6,1-I5,5-E18,5-H14,5-I9
1-H15,1-H9,1-I9,5-E7,5-H21,5-J14
1-H18,1-I11,1-J10,5-F4,5-H3,5-J21
1-H24,1-I16,1-J13,5-G19,5-H4,5-J23
1-H5,1-I21,1-J22,5-G5,5-I5,5-J3
1-H6,1-I5,1-J24,5-H14,5-I9,5-J6
1-H9,1-I9,1-J9,5-H21,5-J14,5-K22
1-I11,1-J10,1-K16,5-H3,5-J21,5-K8
1-I16,1-J13,1-K22,5-H4,5-J23,5-L20
1-I21,1-J22,1-K23,5-I5,5-J3,5-L21
1-I5,1-J24,1-K24,5-I9,5-J6,5-L22
1-I9,1-J9,1-K9,5-J14,5-K22,5-L4
1-J10,1-K16,1-L20,5-J21,5-K8,5-L8
1-J13,1-K22,1-L5,5-J23,5-L20,5-M11
1-J22,1-K23,1-M21,5-J3,5-L21,5-M17
